"","bird_id","capDate","capX","capY"
"1","GT5",2013-05-15,340445.863,4124109.085463
"2","WAM2",2013-05-16,347295.317507,4126420.96218
"3","WAM15",2013-05-17,347286.188135,4126932.675154
"4","NQP1",2013-05-18,353609.303718,4128262.692502
"5","WAM14",2013-05-19,346840.044261,4125523.263301
"6","WAM4",2013-05-19,347320.079009,4125432.602676
"7","WM1",2013-05-21,347367.328552,4131132.576443
"8","WM5",2013-05-21,347850.022516,4131918.029633
"9","WM6",2013-05-21,349147.997998,4131899.865245
"10","COLW3",2013-05-22,349605.661954,4127985.305605
"11","COLW5",2013-05-22,349758.150295,4128586.452907
"12","COLW2",2013-05-22,350749.112292,4129374.952838
"13","COLW4",2013-05-22,350551.237861,4129649.732751
"14","WAM9",2013-05-23,346208.727566,4127289.777334
"15","WAM12",2013-05-24,346285.213056,4126014.328275
"16","WAM10",2013-05-24,346920.1479,4126354.327796
"17","WAM5",2013-05-25,346717.506721,4126836.724951
"18","COLW1",2013-05-25,349270.165159,4128492.10866
"19","WAM3",2013-05-26,347389.261409,4125719.691599
"20","YRSP5",2013-05-26,347689.355364,4140807.599892
"21","CNPS29",2014-05-17,363975.664201,4121610.354915
"22","CNPS24",2014-05-18,364347.190166,4121647.626975
"23","NNP18",2014-05-20,361848.923287,4119654.669997
"24","NNP29",2014-05-20,362429.165192,4119677.557153
"25","CNPS37",2014-05-21,363993.242551,4119061.368495
"26","NQP2",2014-05-21,354071.748066,4128151.078764
"27","CNPS4",2014-05-22,349541.979181,4121736.778373
"28","CNPS7",2014-05-22,349274.139412,4124350.989394
"29","CNPS8",2014-05-22,349072.262009,4124748.178232
"30","CNPS11",2014-05-23,350311.259472,4126995.324151
"31","CNPS12",2014-05-23,351546.882458,4127180.454493
"32","CNPS13",2014-05-23,352927.847831,4127217.045587
"33","WAM1",2014-05-24,347479.057845,4126077.216697
"34","CNPS14",2014-05-25,353515.727316,4127439.266078
"35","CNPS23",2014-05-26,365296.59773,4121786.603331
"36","CNPS27",2014-05-29,365004.339534,4122451.164845
"37","CNPS39",2014-05-29,365838.021778,4119744.852849
"38","CNPS41",2014-05-29,366940.028113,4119470.867925
"39","NNP1",2014-05-30,361946.136523,4120115.186111
"40","WAM13",2014-05-30,346411.550005,4125414.892595
"41","DAMB",2014-06-03,348986.156273,4124819.205566
